BiGG	COG_cat	GO	KEGG	best_OG	eggNOG_Desc	eggNOGs	em_evalue	em_score	kingdom	name	nog_dataset	orf	seed_ortho	tax_scope	contig	taxa	nog_phylum	plot_classification
	S			0JR47|6.01531113964e-105|354.606170654		03T1J@ascNOG,0JR47@euNOG,0PQFV@fuNOG,0SC1F@hypNOG,0WUJ1@necNOG,11Z5J@NOG,13TF3@opiNOG,19JY4@sordNOG	8.2e-60	192.2	euk	FG06884.1		SAMEA2623135_2689174_7	229533.XP_387060.1	fuNOG[21]	SAMEA2623135_2689174	Fungi		Eukaryotes
AICART,IMPC	F		K00602	arCOG02824|4.373694621e-186|620.575866699	phosphoribosylaminoimidazolecarboxamide formyltransferase IMP cyclohydrolase (EC 2.1.2.3	0KRBB@eurNOG,COG0138@NOG,arCOG02824@arNOG	6.599999999999997e-272	893.9	arch	PURH		SAMEA2623135_2189284_21	274854.MG2_0230	arNOG[11]	SAMEA2623135_2189284	Archaea		Archaea
	P	GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944	K02014	07FZ2|0.0|1185.84228516	tonB-dependent Receptor	07FZ2@bactNOG,0R77D@gproNOG,0ZJCX@NOG,18AR0@proNOG	0.0	1084.3	bact		proNOG	SAMEA2623135_17927_12	314285.KT71_18921	bactNOG[38]	SAMEA2623135_17927	Bacteria	Proteobacteria	diderm
	L	GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006276,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009340,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022402,GO:0030541,GO:0032991,GO:0034641,GO:0034645,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051276,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0072521,GO:0072523,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658	K02470,K02622	0QIIA|1.14402917683e-298|994.700866699	DNA topoisomerase IV, subunit B	05C7D@bactNOG,0QIIA@gproNOG,16PUV@proNOG,COG0187@NOG	6.999999999999997e-258	850.6	bact	PARE	proNOG	SAMEA2623135_1045247_8	396588.Tgr7_2123	bactNOG[38]	SAMEA2623135_1045247	Bacteria	Proteobacteria	diderm
	O	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K03798	0P7TG|0.0|1099.27062988	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	05C3H@bactNOG,09A9N@bctoNOG,0P7TG@flaNOG,COG0465@NOG	1.499999999999999e-286	943.3	bact	FTSH	flaNOG	SAMEA2623116_798889_8	867900.Celly_0573	bactNOG[38]	SAMEA2623116_798889	Bacteria	Flavobacteriia	diderm
	I			0P7K8|0.0|1107.33825684	carboxylase	07QX3@bactNOG,099W0@bctoNOG,0P7K8@flaNOG,COG4799@NOG	0.0	1042.3	bact	PCCB	flaNOG	SAMEA2623116_65335_22	983544.Lacal_2321	bactNOG[38]	SAMEA2623116_65335	Bacteria	Flavobacteriia	diderm
	P	GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944	K02014,K16087	07WIT|4.37983052307e-200|669.750915527	Receptor	07WIT@bactNOG,0FPW8@cyaNOG,0XSH3@NOG	4.8999999999999987e-119	390.6	bact		cyaNOG	SAMEA2623116_648899_9	329726.AM1_3407	bactNOG[38]	SAMEA2623116_648899	Bacteria	Cyanobacteria	diderm
ENO	G	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0009986,GO:0044424,GO:0044464	K01689	05C70|8.69523878935e-209|696.699523926	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	05C70@bactNOG,099YR@bctoNOG,0P7QI@flaNOG,COG0148@NOG	2.899999999999999e-200	661.8	bact	ENO	bctoNOG;flaNOG	SAMEA2623116_3701610_2	313603.FB2170_02375	bactNOG[38]	SAMEA2623116_3701610	Bacteria		Unclassified_Bact
	E	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944	K01267	05DFM|2.83162161769e-155|521.539245605	M18 family aminopeptidase	05DFM@bactNOG,0QMAZ@gproNOG,16S41@proNOG,COG1362@NOG	2.5999999999999994e-151	499.6	bact	APEB	proNOG	SAMEA2623116_3441384_6	498211.CJA_2082	bactNOG[38]	SAMEA2623116_3441384	Bacteria	Proteobacteria	diderm
	Q		K09835,K10027	05EWK|1.95430953464e-171|574.761535645	phytoene	05EWK@bactNOG,0G8DK@deiNOG,COG1233@NOG	7.699999999999996e-249	822.1	bact	CRTI	deiNOG	SAMEA2623116_3298379_13	504728.Mrub_2710	bactNOG[38]	SAMEA2623116_3298379	Bacteria	Deinococcusthermus	monoderm
	O	GO:0003674,GO:0003824,GO:0004842,GO:0006464,GO:0006508,GO:0006511,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016567,GO:0016874,GO:0016879,GO:0016881,GO:0019538,GO:0019787,GO:0019941,GO:0030163,GO:0032446,GO:0036211,GO:0043170,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0051603,GO:0070647,GO:0071704,GO:1901575	K06689	1DPV3|1.87483277602e-67|232.164093018	ubiquitin-conjugating enzyme	0DCS8@chloroNOG,1DPV3@virNOG,COG5078@NOG,KOG0417@euNOG	1.9999999999999996e-63	205.1	euk	UBC		SAMEA2623116_2940664_2	3055.EDO98738	virNOG[6]	SAMEA2623116_2940664	Viridiplantae		Eukaryotes
	E		K01687,K13875	0BK35|1.24292453826e-239|799.029907227	Dihydroxy-acid dehydratase	05C01@bactNOG,0BK35@bproNOG,16PQJ@proNOG,COG0129@NOG	1.2999999999999994e-207	678.2	bact		proNOG	SAMEA2623116_2402565_8	640511.BC1002_5935	bactNOG[38]	SAMEA2623116_2402565	Bacteria	Proteobacteria	diderm
	F	GO:0000002,GO:0003674,GO:0003824,GO:0004137,GO:0004797,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0006139,GO:0006165,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006230,GO:0006259,GO:0006260,GO:0006261,GO:0006264,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0008655,GO:0009058,GO:0009059,GO:0009112,GO:0009116,GO:0009117,GO:0009120,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009132,GO:0009156,GO:0009157,GO:0009161,GO:0009162,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009262,GO:0009987,GO:0016020,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0018130,GO:0019136,GO:0019205,GO:0019206,GO:0019438,GO:0019637,GO:0019693,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032042,GO:0034641,GO:0034645,GO:0034654,GO:0043094,GO:0043097,GO:0043170,GO:0043174,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046044,GO:0046092,GO:0046104,GO:0046125,GO:0046134,GO:0046390,GO:0046483,GO:0046939,GO:0055086,GO:0070013,GO:0071704,GO:0071840,GO:0072527,GO:0072528,GO:0090304,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	K00857,K05961	KOG4235|1.07770874836e-36|130.24621582	thymidine kinase 2, mitochondrial	0A2E7@biNOG,0DPR3@chorNOG,0VD9X@meNOG,12Y7J@opiNOG,COG1428@NOG,KOG4235@euNOG	3.3999999999999995e-23	76.3	euk	TK2		SAMEA2623116_1885203_19	7739.JGI124506	meNOG[21]	SAMEA2623116_1885203	Animals		Eukaryotes
AICART,IMPC	F	GO:0000003,GO:0003006,GO:0003360,GO:0003674,GO:0003824,GO:0003937,GO:0004643,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005886,GO:0006082,GO:0006091,GO:0006139,GO:0006144,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006520,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006760,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007049,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009060,GO:0009108,GO:0009112,GO:0009116,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009235,GO:0009259,GO:0009260,GO:0009396,GO:0009611,GO:0009653,GO:0009987,GO:0010035,GO:0015980,GO:0016020,GO:0016053,GO:0016740,GO:0016741,GO:0016742,GO:0016787,GO:0016810,GO:0016814,GO:0018130,GO:0019238,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0019953,GO:0021537,GO:0021543,GO:0021549,GO:0021987,GO:0022037,GO:0022402,GO:0022413,GO:0022414,GO:0030154,GO:0030435,GO:0030437,GO:0030900,GO:0030902,GO:0031099,GO:0031100,GO:0032501,GO:0032502,GO:0032505,GO:0033013,GO:0034293,GO:0034641,GO:0034654,GO:0042060,GO:0042221,GO:0042398,GO:0042558,GO:0042559,GO:0042802,GO:0042803,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0043934,GO:0043935,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044711,GO:0044763,GO:0044767,GO:0045333,GO:0046040,GO:0046390,GO:0046394,GO:0046452,GO:0046483,GO:0046653,GO:0046654,GO:0046983,GO:0048468,GO:0048513,GO:0048610,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050896,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901657	K00602	KOG2555|1.41399698427e-136|460.411865234	bifunctional purine biosynthesis protein	12NZ0@opiNOG,COG0138@NOG,KOG2555@euNOG	1.3999999999999997e-114	377.3	euk	ATIC		SAMEA2623116_1723938_2	431895.XP_001745244.1	opiNOG[43]	SAMEA2623116_1723938	Opisthokonts		Eukaryotes
	P	GO:0003674,GO:0005215,GO:0006810,GO:0008150,GO:0051179,GO:0051234	K03296,K18138	16PBH|0.0|1096.18041992	acriflavin resistance protein	05BZS@bactNOG,0QI9F@gproNOG,16PBH@proNOG,COG0841@NOG	0.0	1239.9	bact	YEGN	proNOG	SAMEA2623116_1528666_43	227377.CBU_0804	bactNOG[38]	SAMEA2623116_1528666	Bacteria	Proteobacteria	diderm
	O	GO:0000491,GO:0000492,GO:0000723,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006275,GO:0006457,GO:0006458,GO:0006461,GO:0006605,GO:0006626,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006950,GO:0006970,GO:0006996,GO:0007005,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010556,GO:0010557,GO:0010604,GO:0010638,GO:0015031,GO:0016020,GO:0016043,GO:0016462,GO:0016482,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0019439,GO:0019538,GO:0019637,GO:0019693,GO:0022607,GO:0022613,GO:0022618,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032200,GO:0032204,GO:0032206,GO:0032210,GO:0032212,GO:0032501,GO:0032502,GO:0032844,GO:0032846,GO:0033036,GO:0033043,GO:0033044,GO:0033365,GO:0033554,GO:0034613,GO:0034622,GO:0034641,GO:0034655,GO:0035690,GO:0042026,GO:0042221,GO:0042278,GO:0042454,GO:0042493,GO:0042592,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043248,GO:0043581,GO:0043623,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044267,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044763,GO:0044765,GO:0044767,GO:0045184,GO:0045740,GO:0045935,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046907,GO:0048518,GO:0048522,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051082,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051276,GO:0051641,GO:0051649,GO:0051716,GO:0055086,GO:0060249,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0065008,GO:0070271,GO:0070585,GO:0070727,GO:0070887,GO:0071702,GO:0071704,GO:0071822,GO:0071826,GO:0071840,GO:0071944,GO:0072521,GO:0072523,GO:0072594,GO:0072655,GO:0080090,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:2000112,GO:2001252	K04079	KOG0020|1.46681291907e-316|1056.10705566	Heat shock protein	01E2T@agarNOG,092AH@basNOG,0PHYZ@fuNOG,12NT4@opiNOG,COG0326@NOG,KOG0020@euNOG	0.0	1010.7	euk	HSP90		SAMEA2623116_1526887_16	5306.JGI73238	fuNOG[21]	SAMEA2623116_1526887	Fungi		Eukaryotes
	F	GO:0003674,GO:0003824,GO:0004146,GO:0004799,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006575,GO:0006725,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008652,GO:0009058,GO:0009108,GO:0009256,GO:0009257,GO:0009396,GO:0009987,GO:0016053,GO:0016491,GO:0016645,GO:0016646,GO:0016740,GO:0016741,GO:0018130,GO:0019438,GO:0019752,GO:0032259,GO:0034641,GO:0042083,GO:0042398,GO:0042558,GO:0042559,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0046483,GO:0046653,GO:0046654,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	K02975,K13998	KOG0673|4.01841220824e-164|552.251037598	thymidylate synthase	0JUW5@euNOG,0TPCM@lilNOG,15N1A@poaNOG,1BKMA@strNOG,1DV6U@virNOG,COG0207@NOG,COG0262@NOG,KOG0673@euNOG,KOG1324@euNOG	3.6999999999999995e-108	356.4	euk			SAMEA2623116_1329443_7	4577.GRMZM2G005990_P01	virNOG[6]	SAMEA2623116_1329443	Viridiplantae		Eukaryotes
	F	GO:0000082,GO:0000083,GO:0000166,GO:0000278,GO:0001101,GO:0001501,GO:0001654,GO:0002064,GO:0002065,GO:0002066,GO:0002069,GO:0002070,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004799,GO:0005488,GO:0005515,GO:0005542,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0005829,GO:0005975,GO:0005976,GO:0006082,GO:0006139,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006231,GO:0006259,GO:0006260,GO:0006281,GO:0006355,GO:0006357,GO:0006520,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006760,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0007049,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007423,GO:0007568,GO:0007584,GO:0007623,GO:0008144,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009059,GO:0009112,GO:0009116,GO:0009117,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009157,GO:0009162,GO:0009163,GO:0009165,GO:0009176,GO:0009177,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009605,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009888,GO:0009889,GO:0009987,GO:0009991,GO:0010033,GO:0010171,GO:0010243,GO:0010468,GO:0010556,GO:0014070,GO:0016020,GO:0016032,GO:0016597,GO:0016740,GO:0016741,GO:0018130,GO:0019048,GO:0019087,GO:0019088,GO:0019219,GO:0019222,GO:0019438,GO:0019637,GO:0019692,GO:0019752,GO:0019842,GO:0019860,GO:0019866,GO:0020021,GO:0021700,GO:0022008,GO:0022402,GO:0022403,GO:0023052,GO:0030154,GO:0030855,GO:0031090,GO:0031099,GO:0031100,GO:0031323,GO:0031326,GO:0031406,GO:0031667,GO:0031960,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032259,GO:0032501,GO:0032502,GO:0032570,GO:0033189,GO:0033273,GO:0033554,GO:0033993,GO:0034097,GO:0034641,GO:0034645,GO:0034654,GO:0035556,GO:0035821,GO:0036094,GO:0040007,GO:0042083,GO:0042221,GO:0042493,GO:0042558,GO:0042802,GO:0042803,GO:0043010,GO:0043167,GO:0043168,GO:0043170,GO:0043200,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0044003,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044700,GO:0044707,GO:0044710,GO:0044763,GO:0044764,GO:0044767,GO:0044770,GO:0044772,GO:0045471,GO:0046073,GO:0046078,GO:0046134,GO:0046385,GO:0046483,GO:0046653,GO:0046683,GO:0046983,GO:0048015,GO:0048017,GO:0048037,GO:0048468,GO:0048469,GO:0048511,GO:0048513,GO:0048545,GO:0048565,GO:0048589,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051186,GO:0051216,GO:0051252,GO:0051325,GO:0051329,GO:0051384,GO:0051593,GO:0051701,GO:0051704,GO:0051716,GO:0051817,GO:0055086,GO:0055123,GO:0060041,GO:0060255,GO:0060429,GO:0060574,GO:0060575,GO:0060576,GO:0061448,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0072341,GO:0072527,GO:0072528,GO:0080090,GO:0090304,GO:0090407,GO:0097159,GO:0097305,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901654,GO:1901657,GO:1901659,GO:1901698,GO:1901700,GO:2000112,GO:2001141	K00560	KOG0673|3.04776468181e-140|473.152008057	thymidylate synthase	0V6C6@meNOG,12NX6@opiNOG,COG0207@NOG,KOG0673@euNOG	3.4999999999999995e-98	322.5	euk	TYMS		SAMEA2623079_983029_4	10228.TriadP18453	meNOG[21]	SAMEA2623079_983029	Animals		Eukaryotes
	E		K02031,K02032	arCOG00181|6.93905645785e-137|458.763641357	Oligopeptide dipeptide ABC transporter ATPase subunit	0M21B@eurNOG,COG1123@NOG,arCOG00181@arNOG,arCOG00184@arNOG	6.499999999999998e-153	503.1	arch			SAMEA2623079_4378542_3	797209.ZOD2009_21372	arNOG[11]	SAMEA2623079_4378542	Archaea		Archaea
	J	GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901576	K01868	05C22|1.44211144852e-297|992.599487305	threonyL-tRNA synthetase	01Q93@aproNOG,05C22@bactNOG,16PDV@proNOG,COG0441@NOG	9.999999999999994e-296	978.8	bact	THRS	proNOG	SAMEA2623079_4321990_6	1002672.SAR11G3_00607	bactNOG[38]	SAMEA2623079_4321990	Bacteria	Proteobacteria	diderm
	S			05EQG|5.23836983907e-203|678.744750977	Protein of unknown function (DUF3604)	05EQG@bactNOG,0R074@gproNOG,0XRDN@NOG,16SDI@proNOG	1.5999999999999996e-136	447.1	bact		proNOG	SAMEA2623079_4125639_5	314285.KT71_03287	bactNOG[38]	SAMEA2623079_4125639	Bacteria	Proteobacteria	diderm
	V		K06147,K06148,K11085	0KRPM|3.06565226133e-198|661.391357422	ABC transporter	0KRPM@eurNOG,COG1132@NOG,arCOG02841@arNOG	9.999999999999994e-273	897.9	arch			SAMEA2623079_383332_2	274854.MG2_0181	arNOG[11]	SAMEA2623079_383332	Archaea		Archaea
	S	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944		05D63|6.77012562435e-156|522.355224609	family UPF0324	05D63@bactNOG,0QVBQ@gproNOG,0XPJB@NOG,16QPJ@proNOG	2.7999999999999988e-229	753.8	bact		proNOG	SAMEA2623079_3066221_6	323261.Noc_1683	bactNOG[38]	SAMEA2623079_3066221	Bacteria	Proteobacteria	diderm
ACS2	I	GO:0003674,GO:0003824,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016874,GO:0016877,GO:0016878,GO:0019541,GO:0019543,GO:0019626,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044710,GO:0044712,GO:0046395,GO:0046459,GO:0071704,GO:0072329,GO:1901575	K01895,K01908	02E9D|5.50610964942e-318|1058.57177734	AmP-dependent synthetase and ligase	02E9D@aproNOG,08IQF@bactNOG,172WM@proNOG,COG0365@NOG	0.0	1276.0	bact	PRPE	proNOG	SAMEA2623079_305571_5	439493.PB7211_25	bactNOG[38]	SAMEA2623079_305571	Bacteria	Proteobacteria	diderm
