#orf	Prob	Evalue	Pvalue	Score	SS	Cols	Query_HMM	Template_HMM	Identity	Similarity	Sum_probs	Template_Neff	subject_header
SAMEA2620651_540485_5	98.2	2.5E-09	4.8E-14	95.1	0.0	188	79-275	44-241 (258)	16	0.188	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623116_2087230_9	100.0	9.1E-36	1.7E-40	261.0	0.0	213	2-234	6-238 (244)	20	0.281	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621990_1836470_4	98.4	2.6E-10	5.1E-15	104.0	0.0	187	133-330	43-236 (258)	15	0.185	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619531_560971_21	98.1	4.3E-09	8.2E-14	93.6	0.0	187	79-275	44-241 (258)	17	0.167	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619907_1254734_10	100.0	3.4E-43	6.4E-48	307.1	0.0	230	27-256	4-233 (235)	59	1.152	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620570_2523411_42	98.2	1.7E-09	3.2E-14	97.6	0.0	208	129-371	16-236 (258)	15	0.156	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621423_1245824_45	100.0	8.7E-43	1.7E-47	297.2	0.0	229	7-235	4-233 (235)	58	1.057	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621839_1759784_18	100.0	9E-37	1.7E-41	263.8	0.0	213	8-228	9-241 (244)	24	0.309	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621839_696831_5	100.0	2E-43	3.8E-48	297.7	0.0	228	1-228	1-230 (235)	58	1.081	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623446_593122_14	100.0	1.2E-40	2.2E-45	298.6	0.0	231	8-264	6-240 (259)	26	0.394	0.0	7.700	3WQJ_A Archaerhodopsin-2; 7 trans-membrane helices, light-driven proton; HET: SQL, L4P, L2P, 22B, RET, L3P; 1.8A {Halobacterium}
SAMEA2619766_24392_4	98.5	1E-10	2E-15	105.1	0.0	184	94-286	43-236 (258)	14	0.211	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2591057_247080_11	100.0	1.4E-33	2.6E-38	244.1	0.0	216	1-230	1-233 (235)	15	0.332	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622690_2151581_64	100.0	3.5E-41	6.7E-46	305.7	0.0	232	51-293	5-240 (244)	19	0.269	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621859_988221_2	100.0	5.4E-39	1E-43	277.2	0.0	218	19-240	2-226 (235)	17	0.244	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2622119_2686883_8	100.0	1.4E-41	2.7E-46	308.4	0.0	227	53-290	5-240 (244)	19	0.294	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621203_2955107_5	100.0	1.1E-36	2.1E-41	273.3	0.0	224	1-233	30-272 (291)	15	0.176	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2623463_362705_21	99.9	2.5E-31	4.8E-36	233.4	0.0	209	6-234	8-234 (235)	21	0.340	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619857_1508546_13	100.0	1E-42	1.9E-47	305.8	0.0	228	21-259	9-239 (244)	18	0.225	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621203_517470_4	100.0	3.2E-34	6.2E-39	254.1	0.0	201	25-232	3-230 (253)	17	0.266	0.0	7.800	1E12_A HALORHODOPSIN; ION PUMP, CHLORIDE PUMP, MEMBRANE; HET: OLC, RET, PLM; 1.8A {HALOBACTERIUM SALINARUM} SCOP: f.13.1.1
SAMEA2620980_1827033_1	100.0	8.8E-43	1.7E-47	299.4	0.0	232	6-242	3-235 (235)	44	0.814	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622173_306061_2	100.0	7.2E-41	1.4E-45	279.3	0.0	211	2-218	3-227 (229)	19	0.281	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2620979_1731696_5	100.0	1.1E-41	2E-46	299.3	0.0	226	33-259	4-229 (235)	64	1.133	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619766_3681_2	100.0	4.7E-34	9.1E-39	246.2	0.0	198	8-227	10-226 (229)	20	0.286	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621132_2944045_9	100.0	2.3E-34	4.5E-39	259.4	0.0	218	38-270	1-241 (244)	20	0.255	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2619782_23792_4	100.0	8.7E-40	1.7E-44	287.6	0.0	222	33-261	2-228 (235)	18	0.258	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2623850_3073888_1	100.0	2.9E-41	5.6E-46	296.8	0.0	230	26-263	3-233 (235)	42	0.801	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622822_1729720_2	100.0	4.4E-42	8.5E-47	300.3	0.0	229	27-255	4-232 (235)	50	1.017	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619782_3066_17	100.0	5E-42	9.6E-47	295.4	0.0	231	7-247	3-234 (235)	42	0.803	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_1114494_12	99.9	8.6E-32	1.7E-36	245.4	0.0	208	10-240	35-283 (291)	18	0.312	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2622452_1422242_10	98.2	1.7E-09	3.4E-14	100.8	0.0	194	269-547	43-241 (258)	14	0.160	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620339_2253622_12	98.0	1.3E-08	2.5E-13	91.0	0.0	161	113-275	79-251 (258)	12	0.098	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622021_2032039_2	100.0	1.2E-41	2.4E-46	286.7	0.0	221	5-225	3-230 (235)	46	0.931	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620339_214956_21	98.2	2.8E-09	5.5E-14	97.4	0.0	176	109-298	45-235 (258)	13	0.190	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619802_13675_2	98.5	2E-10	3.9E-15	105.7	0.0	199	148-403	45-247 (258)	16	0.196	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621155_981157_2	100.0	6E-42	1.2E-46	287.6	0.0	219	1-221	1-225 (235)	15	0.272	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2620979_220351_3	100.0	7.1E-35	1.4E-39	253.6	0.0	203	1-231	1-228 (229)	20	0.258	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2620980_73288_12	97.1	3.6E-06	6.9E-11	76.1	0.0	154	215-427	79-235 (258)	13	0.172	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619399_1743454_8	100.0	1.5E-41	2.9E-46	296.7	0.0	228	27-254	4-231 (235)	57	1.128	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621536_1796564_8	98.5	1.9E-10	3.7E-15	106.9	0.0	195	138-345	45-244 (258)	14	0.157	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621859_2149275_5	99.9	1.3E-31	2.5E-36	234.3	0.0	197	1-219	1-218 (247)	17	0.246	0.0	7.900	2KSY_A Sensory rhodopsin II; membrane proteins, NMR spectroscopy, receptors; HET: RET; NMR {Natronomonas pharaonis}
SAMEA2619818_1880_2	100.0	6.9E-42	1.3E-46	289.3	0.0	225	6-232	5-233 (235)	51	0.886	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619927_1264471_3	100.0	6.8E-39	1.3E-43	276.0	0.0	212	9-229	10-241 (244)	21	0.293	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622336_531757_3	100.0	1.1E-40	2.1E-45	286.7	0.0	224	12-246	9-233 (235)	45	0.832	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621401_1167733_5	100.0	4.7E-34	9E-39	245.7	0.0	200	2-221	3-221 (229)	19	0.254	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622763_8595_22	99.9	1E-31	2E-36	242.4	0.0	201	6-231	32-273 (291)	15	0.304	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2619782_72_113	100.0	1.2E-41	2.3E-46	296.9	0.0	228	26-254	4-232 (235)	53	1.011	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622478_1156587_9	100.0	2.9E-42	5.6E-47	291.7	0.0	217	2-227	13-239 (244)	21	0.275	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620230_2049013_2	99.9	2.7E-31	5.2E-36	228.7	0.0	189	6-217	7-221 (227)	20	0.287	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2620672_245924_1	100.0	2.7E-42	5.2E-47	296.4	0.0	230	6-244	3-233 (235)	41	0.827	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623446_1712242_2	100.0	7.3E-40	1.4E-44	280.4	0.0	215	16-235	2-221 (235)	19	0.325	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2619927_452494_20	99.9	6.4E-32	1.2E-36	234.3	0.0	207	2-225	6-229 (235)	21	0.337	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619399_1220811_18	100.0	1.5E-39	2.9E-44	279.6	0.0	214	12-237	1-225 (227)	23	0.348	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2622219_812855_17	97.1	2.6E-06	5E-11	77.1	0.0	145	219-365	43-194 (258)	12	0.104	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622376_1413333_13	99.8	4.9E-25	9.5E-30	194.8	0.0	221	3-258	5-231 (244)	18	0.209	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621839_920654_2	100.0	3.5E-42	6.7E-47	289.1	0.0	223	2-224	5-230 (235)	60	1.095	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623673_2928436_2	100.0	2.9E-42	5.6E-47	301.2	0.0	229	27-256	4-233 (235)	58	1.104	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619907_873661_11	100.0	8.6E-42	1.7E-46	295.4	0.0	232	1-242	1-234 (235)	52	0.973	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619531_914510_20	100.0	8.7E-39	1.7E-43	271.7	0.0	207	5-219	14-241 (244)	24	0.334	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621839_974553_4	98.4	3.4E-10	6.6E-15	105.9	0.0	187	261-506	45-236 (258)	16	0.225	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620384_81_21	100.0	7E-51	1.3E-55	377.5	0.0	272	21-294	3-274 (275)	32	0.628	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2622766_1594860_11	98.5	9.4E-11	1.8E-15	107.1	0.0	188	98-289	45-241 (258)	13	0.128	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620979_282473_12	100.0	9.5E-43	1.8E-47	295.6	0.0	229	2-236	5-234 (235)	58	1.112	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619531_1738509_8	100.0	5.9E-38	1.1E-42	276.3	0.0	215	4-227	21-270 (291)	20	0.257	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2620979_653788_34	100.0	5.6E-34	1.1E-38	249.2	0.0	211	1-229	8-242 (244)	19	0.309	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622923_812549_14	100.0	6E-43	1.2E-47	297.2	0.0	223	10-232	6-229 (235)	59	1.077	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619879_938572_8	100.0	1.6E-42	3.1E-47	313.3	0.0	233	30-288	2-243 (244)	21	0.272	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2623426_882410_15	100.0	1.1E-44	2.1E-49	307.6	0.0	232	2-233	3-234 (235)	50	1.007	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619974_711_11	100.0	2.4E-42	4.5E-47	301.1	0.0	225	25-249	2-226 (235)	46	0.985	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622119_1080137_3	98.4	3.2E-10	6.2E-15	106.1	0.0	194	232-515	43-245 (258)	14	0.166	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622715_1967581_6	100.0	1.9E-33	3.7E-38	245.7	0.0	202	11-231	7-231 (235)	15	0.208	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2623275_91194_21	100.0	3.1E-35	5.9E-40	256.8	0.0	200	6-223	2-222 (247)	17	0.218	0.0	7.900	2KSY_A Sensory rhodopsin II; membrane proteins, NMR spectroscopy, receptors; HET: RET; NMR {Natronomonas pharaonis}
SAMEA2621203_3059335_10	79.3	0.81	1.6E-05	40.3	0.0	197	149-403	13-232 (258)	12	0.087	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619766_1787_16	100.0	7.8E-40	1.5E-44	286.5	0.0	221	2-232	20-267 (291)	20	0.284	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2621509_429422_1	98.6	7.3E-11	1.4E-15	107.6	0.0	199	72-280	45-252 (258)	15	0.156	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621401_1198262_5	100.0	1.7E-42	3.3E-47	298.3	0.0	230	10-244	3-233 (235)	42	0.840	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619782_76_78	100.0	2E-44	3.9E-49	317.3	0.0	237	1-238	10-276 (288)	26	0.430	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2623463_73921_2	100.0	7.7E-41	1.5E-45	292.6	0.0	231	1-239	10-269 (288)	20	0.405	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2621132_2908170_4	100.0	7.3E-39	1.4E-43	279.0	0.0	214	3-241	15-241 (244)	17	0.252	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620828_3030764_8	98.3	7.4E-10	1.4E-14	101.3	0.0	185	142-374	43-235 (258)	14	0.150	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621020_2249765_12	100.0	7.1E-34	1.4E-38	245.5	0.0	196	8-228	10-228 (229)	18	0.294	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622452_2389362_2	98.3	1.3E-09	2.5E-14	100.8	0.0	198	111-341	45-245 (258)	14	0.134	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623116_2940664_5	98.3	1.3E-09	2.4E-14	98.2	0.0	185	93-286	45-241 (258)	16	0.101	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623627_921618_15	100.0	1.6E-42	3E-47	298.6	0.0	227	11-247	1-228 (235)	17	0.252	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2621401_1527940_6	100.0	2.2E-43	4.2E-48	307.6	0.0	236	6-245	18-257 (275)	30	0.473	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2619548_200329_9	100.0	8.3E-40	1.6E-44	291.1	0.0	226	2-240	9-267 (288)	23	0.422	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2622478_784896_10	100.0	4.5E-42	8.6E-47	291.9	0.0	226	1-232	1-228 (235)	52	0.993	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620980_740681_71	100.0	2.2E-41	4.2E-46	293.4	0.0	230	9-249	5-235 (235)	41	0.782	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620404_1060125_7	100.0	4E-42	7.6E-47	290.5	0.0	227	2-228	3-232 (235)	58	1.035	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623734_3023417_4	100.0	1.3E-42	2.5E-47	293.4	0.0	224	5-228	3-228 (235)	58	1.015	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622690_1507797_19	100.0	3.6E-42	6.9E-47	293.2	0.0	228	1-234	1-230 (235)	49	0.966	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619399_2046495_6	100.0	2E-38	3.8E-43	270.3	0.0	211	3-222	15-241 (244)	19	0.291	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622837_2510011_5	100.0	3.8E-42	7.3E-47	300.5	0.0	228	27-254	4-231 (235)	59	1.135	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591074_148564_2	100.0	1.8E-43	3.4E-48	292.3	0.0	219	1-220	1-219 (220)	75	1.231	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2619840_630085_6	100.0	3.2E-41	6.1E-46	299.2	0.0	216	9-236	21-268 (288)	20	0.371	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2622695_2056724_7	99.9	8.4E-33	1.6E-37	236.6	0.0	196	2-215	1-221 (227)	16	0.330	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2622173_923146_2	100.0	3.7E-34	7.1E-39	247.8	0.0	202	7-227	4-227 (235)	15	0.165	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2620097_293239_24	100.0	2.4E-42	4.5E-47	301.1	0.0	225	25-249	2-226 (235)	46	0.985	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_304172_4	100.0	2.9E-39	5.6E-44	276.2	0.0	213	3-228	15-241 (244)	19	0.277	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620259_221148_2	100.0	1E-38	1.9E-43	279.5	0.0	214	19-242	2-238 (244)	19	0.285	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620979_1672927_5	99.9	2E-32	3.9E-37	244.3	0.0	215	1-238	1-238 (261)	20	0.284	0.0	7.600	1XIO_A ANABAENA SENSORY RHODOPSIN; signaling protein, photoreceptor; HET: PEE, RET; 2.0A {Nostoc sp. PCC 7120} SCOP: f.13.1.1
SAMEA2622694_123_4	98.5	1.4E-10	2.6E-15	108.2	0.0	183	168-355	45-235 (258)	15	0.182	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622452_3082956_40	100.0	2.3E-40	4.4E-45	284.2	0.0	216	18-237	2-221 (235)	15	0.244	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2623079_1004012_5	98.2	1.6E-09	3.1E-14	101.2	0.0	190	274-552	43-241 (258)	13	0.150	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
