orf	rhod_classification	tara	contig
SAMEA2621487_2011339_4	type_1	MIC	SAMEA2621487_2011339
SAMEA2622657_1659193_3	type_1	MIC	SAMEA2622657_1659193
SAMEA2620979_660003_9	helio	MIC	SAMEA2620979_660003
SAMEA2621839_1228563_4	type_1	MIC	SAMEA2621839_1228563
SAMEA2623135_693479_6	type_1	MIC	SAMEA2623135_693479
SAMEA2619907_2888032_4	type_1	MIC	SAMEA2619907_2888032
SAMEA2623673_2928436_2	type_1	MIC	SAMEA2623673_2928436
SAMEA2619399_1220811_18	type_1	MIC	SAMEA2619399_1220811
SAMEA2622764_62277_1	type_1	MIC	SAMEA2622764_62277
SAMEA2622219_2728994_3	type_1	MIC	SAMEA2622219_2728994
SAMEA2621509_429422_1	helio	MIC	SAMEA2621509_429422
SAMEA2620404_2515756_2	type_1	MIC	SAMEA2620404_2515756
SAMEA2623734_2783657_2	helio	MIC	SAMEA2623734_2783657
SAMEA2623116_1967869_7	type_1	MIC	SAMEA2623116_1967869
SAMEA2619802_13428_3	type_1	MIC	SAMEA2619802_13428
SAMEA2619531_964911_1	type_1	MIC	SAMEA2619531_964911
SAMEA2621203_1764108_14	type_1	MIC	SAMEA2621203_1764108
SAMEA2621155_2236281_4	type_1	MIC	SAMEA2621155_2236281
SAMEA2620666_14551_7	type_1	MIC	SAMEA2620666_14551
SAMEA2622376_1542557_10	helio	MIC	SAMEA2622376_1542557
SAMEA2622765_394152_22	type_1	MIC	SAMEA2622765_394152
SAMEA2622021_2268398_1	type_1	MIC	SAMEA2622021_2268398
SAMEA2623673_1886062_1	helio	MIC	SAMEA2623673_1886062
SAMEA2591122_1975622_8	type_1	MIC	SAMEA2591122_1975622
SAMEA2622173_1771129_13	Unclassified	MIC	SAMEA2622173_1771129
SAMEA2621176_71027_6	type_1	MIC	SAMEA2621176_71027
SAMEA2622452_968957_1	type_1	MIC	SAMEA2622452_968957
SAMEA2620970_1224033_1	type_1	MIC	SAMEA2620970_1224033
SAMEA2619548_1867116_2	Unclassified	MIC	SAMEA2619548_1867116
SAMEA2620570_1793057_1	type_1	MIC	SAMEA2620570_1793057
SAMEA2619952_2274567_15	Unclassified	MIC	SAMEA2619952_2274567
SAMEA2619952_2274567_17	helio	MIC	SAMEA2619952_2274567
SAMEA2621075_637026_2	type_1	MIC	SAMEA2621075_637026
SAMEA2622376_786143_2	Unclassified	MIC	SAMEA2622376_786143
SAMEA2623275_1054458_16	type_1	MIC	SAMEA2623275_1054458
SAMEA2619548_647145_2	helio	MIC	SAMEA2619548_647145
SAMEA2619766_8261_6	type_1	MIC	SAMEA2619766_8261
SAMEA2623135_1014618_1	type_1	MIC	SAMEA2623135_1014618
SAMEA2621216_2120175_1	helio	MIC	SAMEA2621216_2120175
SAMEA2620217_808700_4	type_1	MIC	SAMEA2620217_808700
SAMEA2619667_21729_3	type_1	MIC	SAMEA2619667_21729
SAMEA2622652_2845_1	type_1	MIC	SAMEA2622652_2845
SAMEA2621076_2765323_21	type_1	MIC	SAMEA2621076_2765323
SAMEA2622842_2143320_2	helio	MIC	SAMEA2622842_2143320
SAMEA2623116_2764438_20	type_1	MIC	SAMEA2623116_2764438
SAMEA2619879_938572_8	type_1	MIC	SAMEA2619879_938572
SAMEA2620979_1404549_10	type_1	MIC	SAMEA2620979_1404549
SAMEA2621101_1357273_2	type_1	MIC	SAMEA2621101_1357273
SAMEA2620855_1884153_5	type_1	MIC	SAMEA2620855_1884153
SAMEA2619766_12761_7	type_1	MIC	SAMEA2619766_12761
SAMEA2620929_554346_11	type_1	MIC	SAMEA2620929_554346
SAMEA2621536_905141_4	helio	MIC	SAMEA2621536_905141
SAMEA2621132_1844252_3	type_1	MIC	SAMEA2621132_1844252
SAMEA2622568_61469_2	type_1	MIC	SAMEA2622568_61469
SAMEA2623886_781565_4	type_1	MIC	SAMEA2623886_781565
SAMEA2621277_303457_3	helio	MIC	SAMEA2621277_303457
SAMEA2591108_1691867_4	type_1	MIC	SAMEA2591108_1691867
SAMEA2621044_1001140_1	type_1	MIC	SAMEA2621044_1001140
SAMEA2591057_895026_11	type_1	MIC	SAMEA2591057_895026
SAMEA2621401_1387370_3	type_1	MIC	SAMEA2621401_1387370
SAMEA2619766_29157_3	type_1	MIC	SAMEA2619766_29157
SAMEA2622097_1624749_5	type_1	MIC	SAMEA2622097_1624749
SAMEA2620404_283039_7	type_1	MIC	SAMEA2620404_283039
SAMEA2621221_1654941_8	helio	MIC	SAMEA2621221_1654941
SAMEA2621198_1724568_4	type_1	MIC	SAMEA2621198_1724568
SAMEA2591108_283752_7	Unclassified	MIC	SAMEA2591108_283752
SAMEA2623868_354372_3	helio	MIC	SAMEA2623868_354372
SAMEA2619879_313579_3	type_1	MIC	SAMEA2619879_313579
SAMEA2623826_2378020_5	Unclassified	MIC	SAMEA2623826_2378020
SAMEA2620230_2107051_4	type_1	MIC	SAMEA2620230_2107051
SAMEA2620979_79587_3	type_1	MIC	SAMEA2620979_79587
SAMEA2623919_1240647_11	helio	MIC	SAMEA2623919_1240647
SAMEA2621132_1473180_3	type_1	MIC	SAMEA2621132_1473180
SAMEA2622823_2221224_3	type_1	MIC	SAMEA2622823_2221224
SAMEA2619667_4321_1	type_1	MIC	SAMEA2619667_4321
SAMEA2621076_2477777_10	type_1	MIC	SAMEA2621076_2477777
SAMEA2621076_1440515_6	type_1	MIC	SAMEA2621076_1440515
SAMEA2623808_3063745_12	type_1	MIC	SAMEA2623808_3063745
SAMEA2619376_479_44	type_1	MIC	SAMEA2619376_479
SAMEA2623446_1712242_2	type_1	MIC	SAMEA2623446_1712242
SAMEA2619531_1915020_8	type_1	MIC	SAMEA2619531_1915020
SAMEA2619667_23323_2	type_1	MIC	SAMEA2619667_23323
SAMEA2620979_1529727_5	type_1	MIC	SAMEA2620979_1529727
SAMEA2620979_1101247_11	type_1	MIC	SAMEA2620979_1101247
SAMEA2619766_7351_5	type_1	MIC	SAMEA2619766_7351
SAMEA2622219_3461294_1	type_1	MIC	SAMEA2622219_3461294
SAMEA2619531_827535_26	type_1	MIC	SAMEA2619531_827535
SAMEA2622074_2349373_4	type_1	MIC	SAMEA2622074_2349373
SAMEA2622677_485980_2	type_1	MIC	SAMEA2622677_485980
SAMEA2619840_2181644_15	type_1	MIC	SAMEA2619840_2181644
SAMEA2621812_1310602_15	type_1	MIC	SAMEA2621812_1310602
SAMEA2619678_1650739_40	type_1	MIC	SAMEA2619678_1650739
SAMEA2621260_2233801_12	type_1	MIC	SAMEA2621260_2233801
SAMEA2621401_1198262_5	type_1	MIC	SAMEA2621401_1198262
SAMEA2620021_2656491_2	type_1	MIC	SAMEA2620021_2656491
SAMEA2622219_3647010_18	type_1	MIC	SAMEA2622219_3647010
SAMEA2619667_9172_1	type_1	MIC	SAMEA2619667_9172
SAMEA2622074_9592_2	type_1	MIC	SAMEA2622074_9592
SAMEA2621536_295552_4	type_1	MIC	SAMEA2621536_295552
SAMEA2621812_1626049_7	helio	MIC	SAMEA2621812_1626049
SAMEA2621045_1488273_4	type_1	MIC	SAMEA2621045_1488273
SAMEA2620979_220351_3	type_1	MIC	SAMEA2620979_220351
SAMEA2591057_1177359_1	type_1	MIC	SAMEA2591057_1177359
SAMEA2619766_6745_13	type_1	MIC	SAMEA2619766_6745
SAMEA2623350_1369692_5	type_1	MIC	SAMEA2623350_1369692
SAMEA2591108_1096621_10	type_1	MIC	SAMEA2591108_1096621
SAMEA2620666_81_27	type_1	MIC	SAMEA2620666_81
SAMEA2621020_1227763_6	type_1	MIC	SAMEA2621020_1227763
SAMEA2621401_1527940_6	type_1	MIC	SAMEA2621401_1527940
SAMEA2621990_29857_2	type_1	MIC	SAMEA2621990_29857
SAMEA2623079_4378542_7	type_1	MIC	SAMEA2623079_4378542
SAMEA2623275_1560332_6	helio	MIC	SAMEA2623275_1560332
SAMEA2620570_1744605_5	helio	MIC	SAMEA2620570_1744605
SAMEA2619766_17534_3	type_1	MIC	SAMEA2619766_17534
SAMEA2619678_1447364_1	type_1	MIC	SAMEA2619678_1447364
SAMEA2619782_199_54	helio	MIC	SAMEA2619782_199
SAMEA2622796_2160113_1	type_1	MIC	SAMEA2622796_2160113
SAMEA2620979_1114494_12	type_1	MIC	SAMEA2620979_1114494
SAMEA2623426_2452844_2	helio	MIC	SAMEA2623426_2452844
SAMEA2621401_1377494_6	type_1	MIC	SAMEA2621401_1377494
SAMEA2619879_1000653_1	helio	MIC	SAMEA2619879_1000653
SAMEA2619399_3283695_1	type_1	MIC	SAMEA2619399_3283695
SAMEA2623673_1018235_10	helio	MIC	SAMEA2623673_1018235
SAMEA2622097_1428452_3	type_1	MIC	SAMEA2622097_1428452
SAMEA2619802_11395_3	type_1	MIC	SAMEA2619802_11395
SAMEA2621487_1556363_6	type_1	MIC	SAMEA2621487_1556363
SAMEA2620979_1299418_6	type_1	MIC	SAMEA2620979_1299418
SAMEA2620570_1178324_12	Unclassified	MIC	SAMEA2620570_1178324
SAMEA2619399_1711990_5	type_1	MIC	SAMEA2619399_1711990
SAMEA2623350_968492_14	helio	MIC	SAMEA2623350_968492
SAMEA2623627_1803790_8	helio	MIC	SAMEA2623627_1803790
SAMEA2621203_3059335_10	Unclassified	MIC	SAMEA2621203_3059335
SAMEA2623627_784425_12	Unclassified	MIC	SAMEA2623627_784425
SAMEA2622173_694549_2	type_1	MIC	SAMEA2622173_694549
SAMEA2620979_44528_2	helio	MIC	SAMEA2620979_44528
SAMEA2621779_62779_5	type_1	MIC	SAMEA2621779_62779
SAMEA2622759_2927040_2	type_1	MIC	SAMEA2622759_2927040
SAMEA2619376_682_10	type_1	MIC	SAMEA2619376_682
SAMEA2619667_1232_25	type_1	MIC	SAMEA2619667_1232
SAMEA2622766_616897_3	helio	MIC	SAMEA2622766_616897
SAMEA2622765_689348_6	type_1	MIC	SAMEA2622765_689348
SAMEA2621204_1359830_5	helio	MIC	SAMEA2621204_1359830
SAMEA2621839_696831_5	type_1	MIC	SAMEA2621839_696831
SAMEA2621487_1427761_12	type_1	MIC	SAMEA2621487_1427761
SAMEA2623886_179356_1	type_1	MIC	SAMEA2623886_179356
SAMEA2620979_653788_34	type_1	MIC	SAMEA2620979_653788
SAMEA2619907_1989336_6	type_1	MIC	SAMEA2619907_1989336
SAMEA2622452_1837411_16	type_1	MIC	SAMEA2622452_1837411
SAMEA2619907_2852013_1	type_1	MIC	SAMEA2619907_2852013
SAMEA2619952_956192_7	type_1	MIC	SAMEA2619952_956192
SAMEA2619548_201107_3	type_1	MIC	SAMEA2619548_201107
SAMEA2619782_4856_10	type_1	MIC	SAMEA2619782_4856
SAMEA2620734_222131_2	type_1	MIC	SAMEA2620734_222131
SAMEA2623463_1560556_1	type_1	MIC	SAMEA2623463_1560556
SAMEA2621839_2396499_26	type_1	MIC	SAMEA2621839_2396499
SAMEA2622478_3296880_7	type_1	MIC	SAMEA2622478_3296880
SAMEA2623446_116969_1	type_1	MIC	SAMEA2623446_116969
SAMEA2623275_30206_9	type_1	MIC	SAMEA2623275_30206
SAMEA2621401_917801_16	type_1	MIC	SAMEA2621401_917801
SAMEA2621132_2082047_11	type_1	MIC	SAMEA2621132_2082047
SAMEA2623627_722148_5	helio	MIC	SAMEA2623627_722148
SAMEA2623627_722148_6	helio	MIC	SAMEA2623627_722148
SAMEA2619678_2366871_4	type_1	MIC	SAMEA2619678_2366871
SAMEA2622097_1485695_5	helio	MIC	SAMEA2622097_1485695
SAMEA2622097_1485695_4	helio	MIC	SAMEA2622097_1485695
SAMEA2623370_371893_10	type_1	MIC	SAMEA2623370_371893
SAMEA2622716_685876_6	Unclassified	MIC	SAMEA2622716_685876
SAMEA2623850_1247814_1	type_1	MIC	SAMEA2623850_1247814
SAMEA2591108_1491_5	type_1	MIC	SAMEA2591108_1491
SAMEA2619667_8164_3	type_1	MIC	SAMEA2619667_8164
SAMEA2621839_2047363_5	type_1	MIC	SAMEA2621839_2047363
SAMEA2621423_38536_4	helio	MIC	SAMEA2621423_38536
SAMEA2619907_3194518_3	type_1	MIC	SAMEA2619907_3194518
SAMEA2622219_963034_4	type_1	MIC	SAMEA2622219_963034
SAMEA2622715_2166039_8	type_1	MIC	SAMEA2622715_2166039
SAMEA2623868_2726402_5	helio	MIC	SAMEA2623868_2726402
SAMEA2623774_1540871_9	helio	MIC	SAMEA2623774_1540871
SAMEA2621155_98458_4	type_1	MIC	SAMEA2621155_98458
SAMEA2622545_497020_8	type_1	MIC	SAMEA2622545_497020
SAMEA2623774_3136981_3	type_1	MIC	SAMEA2623774_3136981
SAMEA2621839_795123_23	Unclassified	MIC	SAMEA2621839_795123
SAMEA2621221_1194624_2	type_1	MIC	SAMEA2621221_1194624
SAMEA2591122_1254345_1	type_1	MIC	SAMEA2591122_1254345
SAMEA2620828_2111575_7	helio	MIC	SAMEA2620828_2111575
SAMEA2623488_1373546_4	type_1	MIC	SAMEA2623488_1373546
SAMEA2619907_1284327_6	helio	MIC	SAMEA2619907_1284327
SAMEA2622716_734259_53	type_1	MIC	SAMEA2622716_734259
SAMEA2622336_1352532_8	helio	MIC	SAMEA2622336_1352532
SAMEA2621045_2152_12	type_1	MIC	SAMEA2621045_2152
SAMEA2622695_918696_3	type_1	MIC	SAMEA2622695_918696
SAMEA2621839_1025607_6	type_1	MIC	SAMEA2621839_1025607
SAMEA2591108_1456451_2	type_1	MIC	SAMEA2591108_1456451
SAMEA2619399_1870269_7	type_1	MIC	SAMEA2619399_1870269
SAMEA2622842_47088_14	type_1	MIC	SAMEA2622842_47088
SAMEA2622173_2107630_5	type_1	MIC	SAMEA2622173_2107630
SAMEA2621132_2958224_4	type_1	MIC	SAMEA2621132_2958224
SAMEA2620980_506916_6	Unclassified	MIC	SAMEA2620980_506916
SAMEA2623673_2454274_2	type_1	MIC	SAMEA2623673_2454274
SAMEA2622518_2681488_9	type_1	MIC	SAMEA2622518_2681488
SAMEA2621044_1691758_1	helio	MIC	SAMEA2621044_1691758
SAMEA2622219_3605230_5	Unclassified	MIC	SAMEA2622219_3605230
SAMEA2619376_12716_2	type_1	MIC	SAMEA2619376_12716
SAMEA2621487_1175673_5	helio	MIC	SAMEA2621487_1175673
SAMEA2622173_512471_6	type_1	MIC	SAMEA2622173_512471
SAMEA2619857_390432_7	type_1	MIC	SAMEA2619857_390432
SAMEA2619952_2129272_5	type_1	MIC	SAMEA2619952_2129272
SAMEA2622765_209739_38	type_1	MIC	SAMEA2622765_209739
SAMEA2621839_95136_5	type_1	MIC	SAMEA2621839_95136
SAMEA2621203_1199833_5	type_1	MIC	SAMEA2621203_1199833
SAMEA2622074_2562117_7	type_1	MIC	SAMEA2622074_2562117
SAMEA2620339_2714839_7	type_1	MIC	SAMEA2620339_2714839
SAMEA2620980_410171_3	type_1	MIC	SAMEA2620980_410171
SAMEA2622710_384694_4	helio	MIC	SAMEA2622710_384694
SAMEA2623275_2099480_4	type_1	MIC	SAMEA2623275_2099480
SAMEA2620980_1995190_2	type_1	MIC	SAMEA2620980_1995190
SAMEA2621132_1871398_8	helio	MIC	SAMEA2621132_1871398
SAMEA2619399_2046495_6	type_1	MIC	SAMEA2619399_2046495
SAMEA2623079_3066221_3	type_1	MIC	SAMEA2623079_3066221
SAMEA2621132_3186623_4	type_1	MIC	SAMEA2621132_3186623
SAMEA2620666_5055_4	type_1	MIC	SAMEA2620666_5055
SAMEA2622695_1587771_107	type_1	MIC	SAMEA2622695_1587771
SAMEA2621812_1529886_8	helio	MIC	SAMEA2621812_1529886
SAMEA2619952_1356038_6	type_1	MIC	SAMEA2619952_1356038
SAMEA2591108_1842691_1	Unclassified	MIC	SAMEA2591108_1842691
SAMEA2623463_73921_2	type_1	MIC	SAMEA2623463_73921
SAMEA2621216_381233_8	helio	MIC	SAMEA2621216_381233
SAMEA2623868_1512133_18	helio	MIC	SAMEA2623868_1512133
SAMEA2622801_2300419_4	type_1	MIC	SAMEA2622801_2300419
SAMEA2619766_17637_1	helio	MIC	SAMEA2619766_17637
SAMEA2620666_6524_6	helio	MIC	SAMEA2620666_6524
SAMEA2591098_1001913_8	type_1	MIC	SAMEA2591098_1001913
SAMEA2623794_3320667_8	type_1	MIC	SAMEA2623794_3320667
SAMEA2591108_818106_10	type_1	MIC	SAMEA2591108_818106
SAMEA2622219_1705877_5	type_1	MIC	SAMEA2622219_1705877
SAMEA2623135_534047_37	Unclassified	MIC	SAMEA2623135_534047
SAMEA2619782_760_8	helio	MIC	SAMEA2619782_760
SAMEA2623275_1120869_5	type_1	MIC	SAMEA2623275_1120869
SAMEA2622923_2449276_4	type_1	MIC	SAMEA2622923_2449276
SAMEA2620230_1031331_16	type_1	MIC	SAMEA2620230_1031331
SAMEA2622696_970089_10	type_1	MIC	SAMEA2622696_970089
SAMEA2620570_2349695_4	type_1	MIC	SAMEA2620570_2349695
SAMEA2619802_12087_7	type_1	MIC	SAMEA2619802_12087
SAMEA2622715_1967581_6	type_1	MIC	SAMEA2622715_1967581
SAMEA2621020_1487425_29	Unclassified	MIC	SAMEA2621020_1487425
SAMEA2623155_1205428_5	type_1	MIC	SAMEA2623155_1205428
SAMEA2620194_1019720_10	type_1	MIC	SAMEA2620194_1019720
SAMEA2623463_362705_21	type_1	MIC	SAMEA2623463_362705
SAMEA2623446_1314981_9	type_1	MIC	SAMEA2623446_1314981
SAMEA2622766_213679_12	type_1	MIC	SAMEA2622766_213679
SAMEA2591057_869140_2_7	helio	MIC	SAMEA2591057_869140
SAMEA2621221_2241034_16	helio	MIC	SAMEA2621221_2241034
SAMEA2621779_1016794_2	type_1	MIC	SAMEA2621779_1016794
SAMEA2620979_1126904_12	type_1	MIC	SAMEA2620979_1126904
SAMEA2621839_1737175_2	type_1	MIC	SAMEA2621839_1737175
SAMEA2621044_2272193_2	type_1	MIC	SAMEA2621044_2272193
SAMEA2621779_192709_6	helio	MIC	SAMEA2621779_192709
SAMEA2619399_702530_6	type_1	MIC	SAMEA2619399_702530
SAMEA2622518_676079_1	type_1	MIC	SAMEA2622518_676079
SAMEA2619376_15765_8	type_1	MIC	SAMEA2619376_15765
SAMEA2622733_1105806_3	type_1	MIC	SAMEA2622733_1105806
SAMEA2622074_1846858_6	type_1	MIC	SAMEA2622074_1846858
SAMEA2619952_1663645_3	type_1	MIC	SAMEA2619952_1663645
SAMEA2621075_1112764_7	helio	MIC	SAMEA2621075_1112764
SAMEA2622074_947426_1	type_1	MIC	SAMEA2622074_947426
SAMEA2619548_518632_4	type_1	MIC	SAMEA2619548_518632
SAMEA2622097_721176_1	helio	MIC	SAMEA2622097_721176
SAMEA2620404_733619_3	type_1	MIC	SAMEA2620404_733619
SAMEA2620666_34680_3	type_1	MIC	SAMEA2620666_34680
SAMEA2619667_57260_2	type_1	MIC	SAMEA2619667_57260
SAMEA2591057_606306_2	type_1	MIC	SAMEA2591057_606306
SAMEA2621101_1617900_3	type_1	MIC	SAMEA2621101_1617900
SAMEA2623135_1736145_1	type_1	MIC	SAMEA2623135_1736145
SAMEA2591057_154874_21	type_1	MIC	SAMEA2591057_154874
SAMEA2619548_82552_6	helio	MIC	SAMEA2619548_82552
SAMEA2621155_2100246_2	helio	MIC	SAMEA2621155_2100246
SAMEA2591057_459229_2	type_1	MIC	SAMEA2591057_459229
SAMEA2619766_28677_3	type_1	MIC	SAMEA2619766_28677
SAMEA2619399_109711_12	type_1	MIC	SAMEA2619399_109711
SAMEA2623135_1045247_4	type_1	MIC	SAMEA2623135_1045247
SAMEA2620097_293239_24	type_1	MIC	SAMEA2620097_293239
SAMEA2620217_2824148_4	type_1	MIC	SAMEA2620217_2824148
SAMEA2619399_1854592_9	type_1	MIC	SAMEA2619399_1854592
SAMEA2622690_1507797_19	type_1	MIC	SAMEA2622690_1507797
SAMEA2621401_663727_4	helio	MIC	SAMEA2621401_663727
SAMEA2621401_663727_3	helio	MIC	SAMEA2621401_663727
SAMEA2622452_2958485_1	type_1	MIC	SAMEA2622452_2958485
SAMEA2621423_1483423_1	type_1	MIC	SAMEA2621423_1483423
SAMEA2619879_718344_2	type_1	MIC	SAMEA2619879_718344
SAMEA2621839_1432329_10_split_1	Unclassified	MIC	SAMEA2621839_1432329
SAMEA2621839_1432329_10_split_2	helio	MIC	SAMEA2621839_1432329
SAMEA2621536_381370_2	type_1	MIC	SAMEA2621536_381370
SAMEA2623116_156226_2	type_1	MIC	SAMEA2623116_156226
SAMEA2621839_903496_8	type_1	MIC	SAMEA2621839_903496
SAMEA2623627_181376_3	type_1	MIC	SAMEA2623627_181376
SAMEA2623886_2473314_9	Unclassified	MIC	SAMEA2623886_2473314
SAMEA2622652_752_18	type_1	MIC	SAMEA2622652_752
SAMEA2622452_1422242_10	helio	MIC	SAMEA2622452_1422242
SAMEA2619678_59859_7	type_1	MIC	SAMEA2619678_59859
SAMEA2620979_398982_28	type_1	MIC	SAMEA2620979_398982
SAMEA2591108_697781_4	type_1	MIC	SAMEA2591108_697781
SAMEA2621551_2064986_4	type_1	MIC	SAMEA2621551_2064986
SAMEA2623446_1913022_4	type_1	MIC	SAMEA2623446_1913022
SAMEA2621536_804487_3	type_1	MIC	SAMEA2621536_804487
SAMEA2622097_2299373_1	helio	MIC	SAMEA2622097_2299373
SAMEA2620828_1255151_3	helio	MIC	SAMEA2620828_1255151
SAMEA2619376_17652_4	type_1	MIC	SAMEA2619376_17652
SAMEA2623116_2556646_55	type_1	MIC	SAMEA2623116_2556646
SAMEA2620980_1493218_9	type_1	MIC	SAMEA2620980_1493218
SAMEA2622173_2542404_6	type_1	MIC	SAMEA2622173_2542404
SAMEA2621423_1984023_4	type_1	MIC	SAMEA2621423_1984023
SAMEA2621423_2261983_19	helio	MIC	SAMEA2621423_2261983
SAMEA2621021_1835693_10	type_1	MIC	SAMEA2621021_1835693
SAMEA2620734_353559_7	type_1	MIC	SAMEA2620734_353559
SAMEA2623079_1007426_3	type_1	MIC	SAMEA2623079_1007426
SAMEA2620230_760875_4	type_1	MIC	SAMEA2620230_760875
SAMEA2620979_1081342_1	type_1	MIC	SAMEA2620979_1081342
SAMEA2620970_293003_1	type_1	MIC	SAMEA2620970_293003
SAMEA2622764_1587798_5	type_1	MIC	SAMEA2622764_1587798
SAMEA2619818_1170_3	type_1	MIC	SAMEA2619818_1170
SAMEA2621044_1285037_2	type_1	MIC	SAMEA2621044_1285037
SAMEA2621075_1851117_13	type_1	MIC	SAMEA2621075_1851117
SAMEA2619376_10978_7	type_1	MIC	SAMEA2619376_10978
SAMEA2591108_3099_8	type_1	MIC	SAMEA2591108_3099
SAMEA2591108_1453870_2	Unclassified	MIC	SAMEA2591108_1453870
SAMEA2623116_3635802_2	Unclassified	MIC	SAMEA2623116_3635802
SAMEA2591084_327522_4	type_1	MIC	SAMEA2591084_327522
SAMEA2622316_686588_6	helio	MIC	SAMEA2622316_686588
SAMEA2622796_1860376_5	type_1	MIC	SAMEA2622796_1860376
SAMEA2622822_1932268_7	type_1	MIC	SAMEA2622822_1932268
SAMEA2620979_1128517_3	helio	MIC	SAMEA2620979_1128517
SAMEA2619376_864_19	type_1	MIC	SAMEA2619376_864
SAMEA2622452_3096909_8	helio	MIC	SAMEA2622452_3096909
SAMEA2620230_1159560_10	type_1	MIC	SAMEA2620230_1159560
SAMEA2621487_482081_14	type_1	MIC	SAMEA2621487_482081
SAMEA2622764_394196_2	type_1	MIC	SAMEA2622764_394196
SAMEA2621779_359540_25	type_1	MIC	SAMEA2621779_359540
SAMEA2623079_2629121_12	type_1	MIC	SAMEA2623079_2629121
SAMEA2621132_2162483_7	type_1	MIC	SAMEA2621132_2162483
SAMEA2591057_169883_4	type_1	MIC	SAMEA2591057_169883
SAMEA2619782_15118_4	type_1	MIC	SAMEA2619782_15118
SAMEA2620979_1670346_8	type_1	MIC	SAMEA2620979_1670346
SAMEA2623275_2147295_2	type_1	MIC	SAMEA2623275_2147295
SAMEA2591108_1461729_6	type_1	MIC	SAMEA2591108_1461729
SAMEA2619678_398018_12	type_1	MIC	SAMEA2619678_398018
SAMEA2591074_180874_3	type_1	MIC	SAMEA2591074_180874
SAMEA2620230_818011_5	type_1	MIC	SAMEA2620230_818011
SAMEA2619399_3047940_10	type_1	MIC	SAMEA2619399_3047940
SAMEA2623734_975945_3	type_1	MIC	SAMEA2623734_975945
SAMEA2623426_67398_5	helio	MIC	SAMEA2623426_67398
SAMEA2620404_2252254_15	type_1	MIC	SAMEA2620404_2252254
SAMEA2620980_1947042_2	type_1	MIC	SAMEA2620980_1947042
SAMEA2621203_2439172_7	type_1	MIC	SAMEA2621203_2439172
SAMEA2622219_346755_12	helio	MIC	SAMEA2622219_346755
SAMEA2621839_2255614_2	type_1	MIC	SAMEA2621839_2255614
SAMEA2620979_1418061_2	type_1	MIC	SAMEA2620979_1418061
SAMEA2622764_822064_9	type_1	MIC	SAMEA2622764_822064
SAMEA2619782_1618_18	Unclassified	MIC	SAMEA2619782_1618
SAMEA2620021_2398382_47	type_1	MIC	SAMEA2620021_2398382
SAMEA2621812_167166_1	type_1	MIC	SAMEA2621812_167166
SAMEA2622173_954313_4	type_1	MIC	SAMEA2622173_954313
SAMEA2620979_35783_3	type_1	MIC	SAMEA2620979_35783
SAMEA2620929_2578489_3	helio	MIC	SAMEA2620929_2578489
SAMEA2623808_2855069_2	Unclassified	MIC	SAMEA2623808_2855069
SAMEA2620230_116006_2	type_1	MIC	SAMEA2620230_116006
SAMEA2621132_686306_3	Unclassified	MIC	SAMEA2621132_686306
SAMEA2622219_203782_3	helio	MIC	SAMEA2622219_203782
SAMEA2619766_139_7	type_1	MIC	SAMEA2619766_139
SAMEA2591098_31178_1	type_1	MIC	SAMEA2591098_31178
SAMEA2622219_812855_17	helio	MIC	SAMEA2622219_812855
SAMEA2622219_31349_4	helio	MIC	SAMEA2622219_31349
SAMEA2619548_1963449_4	type_1	MIC	SAMEA2619548_1963449
SAMEA2619399_467008_3	type_1	MIC	SAMEA2619399_467008
SAMEA2621487_1177319_3	type_1	MIC	SAMEA2621487_1177319
SAMEA2621260_77361_10	type_1	MIC	SAMEA2621260_77361
SAMEA2620970_486096_44	type_1	MIC	SAMEA2620970_486096
SAMEA2621221_653827_8	helio	MIC	SAMEA2621221_653827
SAMEA2623627_1310370_9	type_1	MIC	SAMEA2623627_1310370
SAMEA2622690_549458_12	type_1	MIC	SAMEA2622690_549458
SAMEA2622173_1016075_20	helio	MIC	SAMEA2622173_1016075
SAMEA2622097_1418923_9	helio	MIC	SAMEA2622097_1418923
SAMEA2622710_2588215_7	type_1	MIC	SAMEA2622710_2588215
SAMEA2591108_403592_1	type_1	MIC	SAMEA2591108_403592
SAMEA2621536_1374077_4	type_1	MIC	SAMEA2621536_1374077
SAMEA2619782_5100_3	type_1	MIC	SAMEA2619782_5100
SAMEA2621020_1983640_11	type_1	MIC	SAMEA2621020_1983640
SAMEA2622316_1666072_2	type_1	MIC	SAMEA2622316_1666072
SAMEA2621203_517470_4	type_1	MIC	SAMEA2621203_517470
SAMEA2623116_2007446_5	type_1	MIC	SAMEA2623116_2007446
SAMEA2619548_2069993_3	type_1	MIC	SAMEA2619548_2069993
SAMEA2619678_696483_6	helio	MIC	SAMEA2619678_696483
SAMEA2621254_535265_1	type_1	MIC	SAMEA2621254_535265
SAMEA2620979_686649_4	type_1	MIC	SAMEA2620979_686649
SAMEA2623059_347759_10	type_1	MIC	SAMEA2623059_347759
SAMEA2621045_1926131_2	type_1	MIC	SAMEA2621045_1926131
SAMEA2621812_1150182_2	type_1	MIC	SAMEA2621812_1150182
SAMEA2619802_13675_2	helio	MIC	SAMEA2619802_13675
SAMEA2619399_2620831_4	helio	MIC	SAMEA2619399_2620831
SAMEA2619531_914510_20	type_1	MIC	SAMEA2619531_914510
SAMEA2621075_1677285_1	helio	MIC	SAMEA2621075_1677285
